Date,Open,Close
7/24/2016,$659,$656
7/31/2016,$668,$659
8/7/2016,$685,$668
8/14/2016,$711,$685
8/21/2016,$722,$711
8/28/2016,$715,$722
9/4/2016,$707,$715
9/11/2016,$710,$707
9/18/2016,$714,$710
9/25/2016,$715,$714
10/2/2016,$717,$715
10/9/2016,$722,$717
10/16/2016,$711,$722
10/23/2016,$691,$711
10/30/2016,$674,$691
11/6/2016,$665,$674
11/13/2016,$660,$665
11/20/2016,$656,$660
11/27/2016,$649,$656
12/4/2016,$645,$649
12/11/2016,$641,$645
12/18/2016,$638,$641
12/25/2016,$638,$638
1/1/2017,$623,$638
1/8/2017,$647,$623
1/15/2017,$642,$647
1/22/2017,$650,$642
1/29/2017,$653,$650
2/5/2017,$655,$653
2/12/2017,$647,$655
2/19/2017,$638,$647
2/26/2017,$630,$638
3/5/2017,$618,$630
3/12/2017,$614,$618
3/19/2017,$613,$614
3/26/2017,$617,$613
4/2/2017,$639,$617
4/9/2017,$659,$639
4/16/2017,$662,$659
4/23/2017,$652,$662
4/30/2017,$655,$652
5/7/2017,$646,$655
5/14/2017,$633,$646
5/21/2017,$636,$633
5/28/2017,$652,$636
6/4/2017,$653,$652
6/11/2017,$649,$653
6/18/2017,$643,$649
6/25/2017,$637,$643
7/2/2017,$627,$637
7/9/2017,$616,$627
7/16/2017,$602,$616
7/23/2017,$598,$602
7/30/2017,$590,$598
8/6/2017,$578,$590
8/13/2017,$564,$578
8/20/2017,$550,$564
8/27/2017,$540,$550
9/3/2017,$547,$540
9/10/2017,$547,$547
9/17/2017,$531,$547
9/24/2017,$520,$531
10/1/2017,$512,$520
10/8/2017,$519,$512
10/15/2017,$538,$519
10/22/2017,$554,$538
10/29/2017,$568,$554
11/5/2017,$576,$568
11/12/2017,$580,$576
11/19/2017,$582,$580
11/26/2017,$580,$582
12/3/2017,$581,$580
12/10/2017,$582,$581
12/17/2017,$574,$582
12/24/2017,$575,$574
12/31/2017,$557,$575
1/7/2018,$570,$557
1/14/2018,$564,$570
1/21/2018,$556,$564
1/28/2018,$542,$556
2/4/2018,$534,$542
2/11/2018,$541,$534
2/18/2018,$532,$541
2/25/2018,$523,$532
3/4/2018,$533,$523
3/11/2018,$555,$533
3/18/2018,$565,$555
3/25/2018,$552,$565
4/1/2018,$544,$552
4/8/2018,$541,$544
4/15/2018,$523,$541
4/22/2018,$503,$523
4/29/2018,$498,$503
5/6/2018,$497,$498
5/13/2018,$489,$497
5/20/2018,$487,$489
5/27/2018,$478,$487
6/3/2018,$468,$478
6/10/2018,$471,$468
6/17/2018,$477,$471
6/24/2018,$481,$477
7/1/2018,$489,$481
7/8/2018,$504,$489
7/15/2018,$506,$504
7/22/2018,$498,$506
7/29/2018,$495,$498
8/5/2018,$484,$495
8/12/2018,$467,$484
8/19/2018,$452,$467
8/26/2018,$449,$452
9/2/2018,$473,$449
9/9/2018,$485,$473
9/16/2018,$493,$485
9/23/2018,$499,$493
9/30/2018,$493,$499
10/7/2018,$483,$493
10/14/2018,$491,$483
10/21/2018,$513,$491
10/28/2018,$537,$513
11/4/2018,$538,$537
11/11/2018,$530,$538
11/18/2018,$519,$530
11/25/2018,$527,$519
12/2/2018,$526,$527
12/9/2018,$519,$526
12/16/2018,$523,$519
12/23/2018,$530,$523
12/30/2018,$528,$530
1/6/2019,$473,$528
1/13/2019,$510,$473
1/20/2019,$486,$510
1/27/2019,$473,$486
2/3/2019,$471,$473
2/10/2019,$473,$471
2/17/2019,$464,$473
2/24/2019,$452,$464
3/3/2019,$438,$452
3/10/2019,$412,$438
3/17/2019,$391,$412
3/24/2019,$415,$391
3/31/2019,$473,$415
4/7/2019,$501,$473
4/14/2019,$487,$501
4/21/2019,$465,$487
4/28/2019,$448,$465
5/5/2019,$485,$448
5/12/2019,$494,$485
5/19/2019,$475,$494
5/26/2019,$461,$475
6/2/2019,$469,$461
6/9/2019,$480,$469
6/16/2019,$477,$480
6/23/2019,$485,$477
6/30/2019,$486,$485
7/7/2019,$486,$486
7/14/2019,$503,$486
7/21/2019,$516,$503
7/28/2019,$524,$516
8/4/2019,$529,$524
8/11/2019,$528,$529
8/18/2019,$526,$528
8/25/2019,$512,$526
9/1/2019,$502,$512
9/8/2019,$499,$502
9/15/2019,$484,$499
9/22/2019,$469,$484
9/29/2019,$474,$469
10/6/2019,$484,$474
10/13/2019,$484,$484
10/20/2019,$496,$484
10/27/2019,$501,$496
11/3/2019,$504,$501
11/10/2019,$515,$504
11/17/2019,$517,$515
11/24/2019,$503,$517
12/1/2019,$490,$503
12/8/2019,$498,$490
12/15/2019,$494,$498
12/22/2019,$487,$494
12/29/2019,$472,$487
1/12/2020,$477,$472
1/19/2020,$501,$477
1/26/2020,$536,$501
2/2/2020,$565,$536
2/9/2020,$607,$565
2/16/2020,$648,$607
2/23/2020,$691,$648
3/1/2020,$713,$691
3/8/2020,$739,$713
3/15/2020,$757,$739
3/22/2020,$747,$757
3/29/2020,$717,$747
4/5/2020,$696,$717
4/12/2020,$711,$696
4/19/2020,$722,$711
4/26/2020,$712,$722
5/3/2020,$708,$712
5/10/2020,$711,$708
5/17/2020,$721,$711
5/24/2020,$735,$721
5/31/2020,$746,$735
6/7/2020,$748,$746
6/14/2020,$747,$748
6/21/2020,$764,$747
6/28/2020,$760,$764
7/5/2020,$758,$760
7/12/2020,$755,$758
7/19/2020,$747,$755
7/26/2020,$749,$747
8/2/2020,$755,$749
8/9/2020,$758,$755
8/16/2020,$762,$758
8/23/2020,$773,$762
8/30/2020,$785,$773
9/6/2020,$783,$785
9/13/2020,$769,$783
9/20/2020,$764,$769
9/27/2020,$771,$764
10/4/2020,$776,$771
10/11/2020,$786,$776
10/18/2020,$791,$786
10/25/2020,$796,$791
11/1/2020,$815,$796
11/8/2020,$826,$815
11/15/2020,$828,$826
11/22/2020,$827,$828
11/29/2020,$817,$827
12/6/2020,$798,$817
12/13/2020,$792,$798
12/20/2020,$807,$792
12/27/2020,$834,$807
1/10/2021,$788,$834
1/17/2021,$839,$788
1/24/2021,$865,$839
1/31/2021,$885,$865
2/7/2021,$886,$885
2/14/2021,$881,$886
2/21/2021,$869,$881
2/28/2021,$862,$869
3/7/2021,$858,$862
3/14/2021,$862,$858
3/21/2021,$859,$862
3/28/2021,$871,$859
4/4/2021,$884,$871
4/11/2021,$874,$884
4/18/2021,$898,$874
4/25/2021,$908,$898
5/2/2021,$892,$908
5/9/2021,$886,$892
5/16/2021,$895,$886
5/23/2021,$892,$895
5/30/2021,$887,$892
6/6/2021,$892,$887
6/13/2021,$904,$892
6/20/2021,$913,$904
6/27/2021,$923,$913
7/4/2021,$936,$923
7/11/2021,$948,$936
7/18/2021,$972,$948
7/25/2021,$994,$972
8/1/2021,$996,$994
8/8/2021,$992,$996
8/15/2021,$998,$992
8/22/2021,"$1,003",$998
8/29/2021,"$1,016","$1,003"
9/5/2021,"$1,012","$1,016"
9/12/2021,"$1,006","$1,012"
9/19/2021,"$1,024","$1,006"
9/26/2021,"$1,028","$1,024"
10/3/2021,"$1,036","$1,028"
10/10/2021,"$1,043","$1,036"
10/17/2021,"$1,041","$1,043"
10/24/2021,"$1,056","$1,041"
10/31/2021,"$1,071","$1,056"
11/7/2021,"$1,070","$1,071"
11/14/2021,"$1,067","$1,070"
11/21/2021,"$1,092","$1,067"
11/28/2021,"$1,105","$1,092"
12/5/2021,"$1,106","$1,105"
